created_at,text
Sat Aug 15 00:52:34 +0000 2020,Young voters love Trump's COVID plan ... when told it's Biden's https://t.co/ek5oTDoVFc
Sat Aug 15 00:52:33 +0000 2020,"@riyalstupid edit :

biden = scrimgeour (fudge is the worst, scrim is avg)
KAMALA = MOLLY WEASLEY ( u forgot, both badass)
trump = voldemort (no question, wanted to reiterate)
pence = Goyle of crab &amp; goyle (bellatrix is too smart to b pence)

the rest i agree ❤️"
Sat Aug 15 00:52:32 +0000 2020,"A national mask mandate is what's needed so every state is on the same page. More funding for testing and contact tracing and PPE and vaccine research is what Biden's also proposing. What has trump done? Wishing the virus away?
#BidenHarris2020Landslide #BidenHarris"
Sat Aug 15 00:52:31 +0000 2020,"@PodSaveAmerica Your ideas for filling posts in a Biden administration are excellent, BUT do you want to lose a majority in the Senate? Work would actually get done in the Senate with Warren or Klobuchar as Senate majority leader."
Sat Aug 15 00:52:31 +0000 2020,"@MathPhysics3 I hear a lot of “well Trump is horrible, but... *whispers* I guess we have to stick with what we have.”

I think the Biden support is a FakeNews mirage and what support he does have is extremely shallow, fair-weather fans. Trump people will crawl over broken glass to vote."
Sat Aug 15 00:52:30 +0000 2020,"Meredith Brooks blasts Kamala Harris for now siding with Joe Biden on Tara Reade allegations

https://t.co/rbwpKdzRVg
Good 👏👏"
Sat Aug 15 00:52:30 +0000 2020,"@They_Goblin @jimchines Neither Biden nor Harris was my pick, but I'm voting for them. Yes, it's not great. However, people pushed Biden left in his platform. We got them to support queer rights. You can't change anything literally overnight."
Sat Aug 15 00:52:29 +0000 2020,Just saw a clip where Pence said he wouldn't let Biden and Harris cut America's meat and I'm not sure what the big deal is. Tbh I guess I just figured him for the circumcised type
Sat Aug 15 00:52:29 +0000 2020,@SenRonJohnson @ImTheRealLaura @JoeBiden Sure Biden knew.  He’s guilty as sin.  He helped Hunter get the job.  How else could a military dropout with a drug problem land a million dollar job in a company that he has no experience nor does he speak the native language? Total corruption.
Sat Aug 15 00:52:29 +0000 2020,@RealMattCouch It’s so sad that we even have to suggest Biden need to show up for debate.   How is that not mandatory ?
Sat Aug 15 00:52:29 +0000 2020,@LisaChrisTruth @Chewythewookie1 @Flyers that is still close....i mean  Delaware  no offense to Joe Biden...isn't very big.  If you blink twice you are in MD.
Sat Aug 15 00:52:28 +0000 2020,@AOC Did you have a problem with the U. S. Postal Union endorsing Biden?
Sat Aug 15 00:52:28 +0000 2020,"@mviser They craned me into the tractor trailer along w my mailbox! I jumped off, went inside &amp; grabbed my Beretta &amp; shot it into the air like @joebiden suggested.
The guys stealing my mailbox spoke Russian. Clearly Putin &amp; Trump will do anything to defeat the cognitively superior Biden."
Sat Aug 15 00:52:28 +0000 2020,"@RealJamesWoods @realDonaldTrump Good to see you standing with your team, your second from the left right?

Think enough have died because of Grand Wizard Trump, people’s lives really do depend on it so it’s Biden/Harris 2020!! https://t.co/SYDKXPePV3"
Sat Aug 15 00:52:27 +0000 2020,@thejtlewis @zpennylane1 Not just Biden. The ENTIRE D party.
Sat Aug 15 00:52:27 +0000 2020,"@WhiteHouse @realDonaldTrump Republicans for Joe Biden
@RepsForBiden"
Sat Aug 15 00:52:26 +0000 2020,@BDemocratsfor @itisjustmebabe @ThatsJacqueline @TwitterSupport @MiddleMolly @KimSwink @Biden_Squadron @RealKHiveQueenB Sounds like cyber bullying to me https://t.co/yWb5V3rUQW
Sat Aug 15 00:52:25 +0000 2020,"@TheRickWilson ..try to take #Biden down. And it's going to get F-ugly. Pay attention, folks!"
Sat Aug 15 00:52:25 +0000 2020,@ThinSlicedTuna @airforcepam @RichardMylesSt1 @pemalevy https://t.co/E2SlPL4rCr this is explains the Democrat scam orchestrated by the corrupt big labor unions
Sat Aug 15 00:52:24 +0000 2020,@AOC We don’t think enough about if Biden wins these same people will still be there
Sat Aug 15 00:52:23 +0000 2020,"@AOC The postal union endorsed Biden &amp; they're a crucial (as we're seeing) part of the electoral process. We can't disqualify stakeholders in our society on the basis of...being stakeholders.
But yeah the leadership at very least of the @NYCPBA is just aching to wear brown shirts"
Sat Aug 15 00:52:23 +0000 2020,"Anyone else suspect the IRS will somehow “lose” all copies of Trump’s past tax returns if he loses in November? The next congress could request his returns, and black-letter law says the Treasury Secretary shall turn them over, and Biden’s would…"
Sat Aug 15 00:52:23 +0000 2020,"@MikeBloomberg Why can you spend billions on commercials, but not help Joe with this voting mess? Help us win! #Biden2020ToSaveAmerica #BidenHarris2020Landslide #biden"
Sat Aug 15 00:52:21 +0000 2020,@curleypic Vote biden and harris.  They will protect your business
Sat Aug 15 00:52:21 +0000 2020,"You really need to hear what he has to say. He talks about so much more, about many other things than the title tells you. He spews the truth. Can you handle it?

Oprah and Biden GOT ME HEATED https://t.co/IjJkKIT9f5 via @YouTube"
Sat Aug 15 00:52:21 +0000 2020,@CHueyBurns Will they ever “allow” Biden to take questions?
Sat Aug 15 00:52:21 +0000 2020,"@murpharoo it's a direct quote, that sadly but neatly captures what a very likely  shambolic, confused and gaffe prone Presidency a Biden Presidency would look like."
Sat Aug 15 00:52:19 +0000 2020,"@_Pancake_Papi Oh for sure dont get me wrong i dont completely disagree.  The reason why its lesser of two evils is because theyre the ones that dont get affected the most.  I said it before with Hillary which i was wrong about. in a much lesser degree I think Biden is just ""less bad"""
